month,region,????,?????,????,???????,????,?????,????,???????,????
2021?4?,??,"863,587",38.9,"1,528,252,671",-12.7,"1,321,722",11.9,"4,260,071,133",-10.8,"-458,135"
2021?5?,??,"1,086,063",44.8,"1,877,614,318",-15.6,"1,676,469",9.7,"5,324,771,594",-12.2,"-590,406"
2021?6?,??,"1,292,804",41.4,"2,169,256,998",-21.1,"1,872,862",5.7,"6,255,214,102",-13.3,"-580,058"
2021?7?,??,"1,544,444",42.3,"2,677,399,018",-14.9,"2,238,870",10.0,"7,768,391,842",-11.1,"-694,426"
2021?8?,??,"1,761,888",42.1,"3,279,820,691",-9.8,"2,550,159",12.5,"9,016,223,126",-8.9,"-788,271"
2021?9?,??,"2,011,136",40.6,"3,900,684,810",-8.4,"3,128,169",26.3,"10,646,066,904",-3.8,"-1,117,033"
2021?10?,??,"2,271,933",41.5,"4,445,025,310",-8.4,"3,500,254",33.0,"12,071,314,686",3.3,"-1,228,321"
2021?11?,??,"2,509,580",38.0,"4,894,630,137",-8.5,"3,858,585",33.7,"13,271,511,260",4.4,"-1,349,005"
2021?12?,??,"2,729,879",34.9,"5,270,637,576",-11.6,"4,317,665",37.1,"14,454,706,373",4.2,"-1,587,786"
2020?,??,"2,023,271",-3.1,"5,965,340,775",-14.5,"3,148,914",-22.2,"13,873,897,472",-18.2,"-1,125,643"
2020?1?,??,"142,142",-18.3,"462,662,780",-27.3,"253,802",-19.8,"1,192,003,576",-22.0,"-111,660"
2020?2?,??,"296,044",-9.2,"983,045,498",-14.6,"626,562",-5.2,"2,901,279,504",1.1,"-330,518"
2020?3?,??,"468,443",-6.9,"1,417,092,878",-4.4,"832,011",-11.1,"3,729,787,440",-9.2,"-363,568"
2020?4?,??,"621,833",-8.0,"1,750,664,870",-7.8,"1,181,119",-2.9,"4,774,374,431",-8.0,"-559,286"
2020?5?,??,"750,196",-12.4,"2,225,594,080",-10.6,"1,528,043",0.0,"6,062,435,404",-9.1,"-777,847"
2020?6?,??,"914,468",-11.6,"2,748,989,078",-12.8,"1,771,078",-6.3,"7,213,191,471",-9.0,"-856,610"
2020?7?,??,"1,085,459",-10.8,"3,145,537,767",-15.5,"2,034,690",-8.7,"8,743,065,590",-8.1,"-949,231"
2020?8?,??,"1,240,130",-10.5,"3,635,047,311",-17.7,"2,267,536",-12.3,"9,893,181,958",-11.3,"-1,027,406"
2020?9?,??,"1,430,879",-7.9,"4,258,998,840",-14.3,"2,477,598",-16.5,"11,061,054,440",-12.5,"-1,046,719"
