? ?? ?????  ???????(2020=100) [2020=100],,,,,,,
??-?????,??,????(???),????? ????(???),????? ????(???),????(????),????? ????(????),????? ????(????)
??,2009.08 ?,73.305,78.767,56.106,77.167,79.907,55.991
??,2009.09 ?,83.788,89.398,56.606,80.59,83.652,57.558
??,2009.10 ?,80.191,86.153,56.305,78.967,82.309,56.574
??,2009.11 ?,81.492,87.534,56.906,79.994,83.518,57.141
??,2009.12 ?,83.477,89.328,57.858,81.093,85.184,58.14
??,2010.01 ?,80.695,84.963,63.335,82.419,84.297,61.678
??,2010.02 ?,74.093,78.229,64.445,83.363,84.924,63.744
??,2010.03 ?,88.078,93.635,63.531,84.798,87.074,63.559
??,2010.04 ?,87.992,93.819,64.119,85.829,88.777,64.706
??,2010.05 ?,87.297,92.343,64.771,86.55,89.762,64.561
??,2010.06 ?,89.382,95.295,64.119,86.687,91.016,64.748
??,2010.07 ?,89.208,93.911,65.946,87.433,91.195,65.352
??,2010.08 ?,83.996,90.037,66.077,87.043,90.926,65.831
??,2010.09 ?,85.125,90.775,65.816,87.104,91.016,66.88
??,2010.10 ?,91.813,97.786,66.6,88.15,90.748,67.071
??,2010.11 ?,91.64,97.786,66.665,88.503,92.18,66.845
??,2010.12 ?,93.029,98.432,68.101,90.143,93.076,68.514
??,2011.01 ?,90.424,95.849,68.232,92.864,95.854,66.462
??,2011.02 ?,79.218,85.24,67.187,90.203,93.166,66.643
??,2011.03 ?,95.983,101.937,68.493,92.282,94.689,68.559
??,2011.04 ?,93.029,98.801,69.016,90.877,93.614,69.545
??,2011.05 ?,93.551,98.524,70.909,91.273,94.241,70.585
??,2011.06 ?,94.767,99.631,71.692,91.891,94.868,72.431
??,2011.07 ?,92.335,96.587,72.998,91.88,95.136,72.353
??,2011.08 ?,88.426,93.911,73.129,91.741,95.136,72.771
??,2011.09 ?,91.118,96.863,73.325,91.681,95.764,74.428
??,2011.10 ?,95.809,101.292,75.349,93.84,95.854,75.934
??,2011.11 ?,95.375,100.185,76.785,92.063,94.599,76.971
??,2011.12 ?,95.288,100.923,78.288,90.361,93.614,78.763
??,2012.01 ?,87.644,93.266,77.895,92.506,96.75,75.397
??,2012.02 ?,91.9,97.232,76.655,96.638,97.825,76.421
??,2012.03 ?,96.852,102.399,76.785,93.107,95.136,76.89
??,2012.04 ?,92.943,98.155,76.067,94.159,96.032,76.737
??,2012.05 ?,96.591,102.122,77.178,94.47,97.645,76.814
??,2012.06 ?,95.375,101.661,74.892,92.495,96.75,75.681
??,2012.07 ?,92.335,97.509,75.284,91.867,95.674,74.546
??,2012.08 ?,87.123,92.343,77.83,90.439,93.255,77.341
??,2012.09 ?,91.466,98.801,74.631,91.423,96.481,75.84
??,2012.10 ?,95.027,100.461,75.741,93.762,96.301,76.197
??,2012.11 ?,97.98,102.306,79.136,94.436,96.57,79.3
??,2012.12 ?,95.288,100.461,81.682,94.735,97.825,82.561
??,2013.01 ?,96.07,100.369,83.902,96.646,98.182,82.147
??,2013.02 ?,83.909,89.668,81.291,94.248,97.018,80.457
??,2013.03 ?,95.114,101.384,80.246,93.098,95.764,80.497
??,2013.04 ?,95.288,101.015,78.744,93.447,95.764,79.15
??,2013.05 ?,96.504,102.306,79.332,92.987,96.391,78.836
??,2013.06 ?,94.159,100.83,77.765,92.958,97.466,78.718
??,2013.07 ?,93.985,99.077,80.899,91.941,95.674,79.93
??,2013.08 ?,90.336,96.956,80.507,93.68,98.182,79.857
??,2013.09 ?,88.165,94.188,81.225,91.725,95.674,82.56
??,2013.10 ?,98.85,104.52,82.401,94.511,97.825,82.841
??,2013.11 ?,97.633,102.768,84.229,93.897,97.018,84.392
??,2013.12 ?,98.154,102.952,85.274,95.608,98.541,86.243
??,2014.01 ?,91.813,95.941,85.861,96.443,98.451,83.818
??,2014.02 ?,87.47,92.804,84.033,95.801,97.287,83.743
??,2014.03 ?,98.154,104.151,84.621,96.187,98.362,84.935
??,2014.04 ?,97.894,103.044,85.339,96.219,97.735,85.666
??,2014.05 ?,94.507,100.83,84.556,92.84,96.391,84.118
??,2014.06 ?,94.767,100.369,83.641,95.243,98.541,84.782
??,2014.07 ?,98.154,101.661,86.58,96.08,98.093,85.425
??,2014.08 ?,88.078,94.28,84.751,92.722,96.75,84.028
??,2014.09 ?,89.99,96.033,84.229,91.918,96.122,85.474
??,2014.10 ?,95.983,101.384,84.817,91.721,95.226,85.197
??,2014.11 ?,94.507,101.107,84.36,92.367,97.287,84.648
??,2014.12 ?,99.37,105.166,83.185,94.951,98.9,84.213
??,2015.01 ?,91.917,97.6,84.785,92.504,96.491,83.457
??,2015.02 ?,82.331,88.5,85.4,94.184,97.856,84.665
??,2015.03 ?,96.617,103.5,85.224,93.142,96.101,85.488
??,2015.04 ?,95.771,102,86.807,94.365,97.466,86.972
??,2015.05 ?,92.011,98.8,86.983,92.009,95.712,86.608
??,2015.06 ?,96.147,102.4,88.478,93.386,97.076,89.586
??,2015.07 ?,94.549,100.3,90.853,92.469,96.491,89.581
??,2015.08 ?,88.816,95,91.381,94.846,100.39,90.54
??,2015.09 ?,94.643,100.2,89.622,96.263,99.805,90.837
??,2015.10 ?,99.906,105.7,89.358,95.634,100.195,89.785
??,2015.11 ?,96.898,101.9,88.918,94.702,99.123,89.217
??,2015.12 ?,98.12,104,87.599,93.68,98.148,88.896
??,2016.01 ?,91.259,95.6,92.612,93.523,96.784,91.46
??,2016.02 ?,83.835,89.7,93.404,94.422,97.953,92.475
??,2016.03 ?,99.154,106.7,92.612,95.74,99.318,92.99
??,2016.04 ?,94.173,100.7,91.293,94.503,98.733,91.432
??,2016.05 ?,97.368,103.1,91.645,97.41,100.292,91.124
??,2016.06 ?,99.624,104.5,89.358,96.913,99.708,90.586
??,2016.07 ?,96.617,101.2,91.205,96.123,99.415,89.877
??,2016.08 ?,91.729,96.5,89.886,94.623,98.538,88.69
??,2016.09 ?,93.139,98.5,88.039,94.828,98.733,89.241
??,2016.10 ?,99.248,103.7,87.687,94.607,98.538,87.962
??,2016.11 ?,103.102,107.3,87.951,99.125,103.216,88.216
